,Quarter,Tm,Detail,NYG,PHI
0,1.0,Giants,Hank Soar 18 yard field goal,3,0
1,1.0,Eagles,Bill Hewitt 4 yard pass from Dave Smukler (Dave Smukler kick),3,7
2,2.0,Giants,Kink Richards 2 yard rush (Hank Soar kick),10,7
3,4.0,Giants,Ward Cuff 20 yard rush,16,7
