,Quarter,Tm,Detail,BAL,BUF
0,2.0,Colts,Bert Jones 1 yard rush (Steve Mike-Mayer kick),7,0
1,3.0,Bills,Curtis Brown 21 yard pass from Joe Ferguson (Nick Mike-Mayer kick),7,7
2,4.0,Bills,Nick Mike-Mayer 40 yard field goal,7,10
3,4.0,Bills,Nick Mike-Mayer 37 yard field goal,7,13
4,4.0,Colts,Mack Alston 4 yard pass from Bert Jones (Steve Mike-Mayer kick),14,13
