,Quarter,Time,Tm,Detail,MIN,NYG
0,1.0,5:14,Giants,Cary Blanchard 24 yard field goal,0,3
1,2.0,11:59,Vikings,Leroy Hoard 3 yard rush (Gary Anderson kick),7,3
2,2.0,7:50,Giants,Cary Blanchard 43 yard field goal,7,6
3,2.0,0:27,Vikings,Leroy Hoard 1 yard rush (Gary Anderson kick),14,6
4,3.0,4:29,Vikings,Cris Carter 27 yard pass from Randy Moss (Gary Anderson kick),21,6
5,3.0,0:00,Giants,Cary Blanchard 42 yard field goal,21,9
6,4.0,14:44,Vikings,Moe Williams 85 yard kickoff return (Gary Anderson kick),28,9
7,4.0,7:45,Giants,Pete Mitchell 1 yard pass from Kerry Collins (Kerry Collins run),28,17
8,4.0,7:23,Vikings,Robert Smith 70 yard rush (pass failed),34,17
