,Quarter,Tm,Detail,FRN,CHI
0,1,Bears,Bronko Nagurski unknown yard rush (Joey Sternaman kick),0,7
1,2,Yellow Jackets,Clyde Crabtree 44 yard pass from Neil Rengel (Ed Halicki kick),7,7
2,3,Bears,Carl Brumbaugh 4 yard rush,7,13
