,Quarter,Tm,Detail,PHI,STL
0,1.0,Cardinals,Jim Bakken 32 yard field goal,0,3
1,2.0,Eagles,Charlie Smith 22 yard pass from Ron Jaworski (Mike Michel kick),7,3
2,4.0,Eagles,Mike Hogan 2 yard rush (Mike Michel kick),14,3
3,4.0,Cardinals,Pat Tilley 1 yard pass from Jim Hart (Jim Bakken kick),14,10
