,Quarter,Tm,Detail,CHI,RAM
0,1.0,Bears,Ken Kavanaugh 64 yard pass from Johnny Lujack (Johnny Lujack kick),7,0
1,3.0,Rams,Don Currivan 20 yard pass from Jim Hardy,7,6
2,4.0,Bears,J.R. Boone 35 yard rush (Al Lawler kick),14,6
3,4.0,Bears,J.R. Boone 2 yard rush (Al Lawler kick),21,6
