,Quarter,Time,Tm,Detail,LAC,OAK
0,1.0,8:05,Raiders,Daniel Carlson 40 yard field goal,0,3
1,1.0,6:14,Raiders,Erik Harris 56 yard interception return (Daniel Carlson kick),0,10
2,2.0,8:27,Chargers,Hunter Henry 2 yard pass from Philip Rivers (Michael Badgley kick),7,10
3,2.0,4:20,Chargers,Melvin Gordon 3 yard rush (Michael Badgley kick),14,10
4,2.0,0:24,Raiders,Alec Ingold 9 yard pass from Derek Carr (Daniel Carlson kick),14,17
5,3.0,11:36,Raiders,Daniel Carlson 22 yard field goal,14,20
6,3.0,0:28,Chargers,Michael Badgley 27 yard field goal,17,20
7,4.0,4:08,Chargers,Austin Ekeler 6 yard pass from Philip Rivers (Michael Badgley kick),24,20
8,4.0,1:06,Raiders,Josh Jacobs 18 yard rush (Daniel Carlson kick failed),24,26
