,Quarter,Tm,Detail,NOR,MIN
0,2.0,Vikings,Rick Danmeier 35 yard field goal,0,3
1,2.0,Saints,Benny Ricardo 24 yard field goal,3,3
2,2.0,Vikings,Joe Senser 11 yard pass from Tommy Kramer (Rick Danmeier kick),3,10
3,3.0,Vikings,Rick Danmeier 19 yard field goal,3,13
4,3.0,Vikings,Ted Brown 9 yard rush (Rick Danmeier kick),3,20
5,4.0,Saints,George Rogers 1 yard rush (Benny Ricardo kick),10,20
