,Quarter,Time,Tm,Detail,TEN,JAX
0,1.0,0:58,Titans,Gary Anderson 41 yard field goal,3,0
1,2.0,10:14,Jaguars,Josh Scobee 35 yard field goal,3,3
2,2.0,6:48,Titans,Derrick Mason 37 yard pass from Steve McNair (Gary Anderson kick),10,3
3,2.0,1:06,Jaguars,Josh Scobee 48 yard field goal,10,6
4,3.0,1:02,Jaguars,David Garrard 5 yard rush (Josh Scobee kick),10,13
5,4.0,9:12,Jaguars,"Safety,",10,15
6,4.0,3:31,Titans,Antowain Smith 2 yard rush (Steve McNair run),18,15
