,Quarter,Tm,Detail,BAL,DET
0,1.0,Colts,Lenny Moore 11 yard rush (Lou Michaels kick),7,0
1,2.0,Colts,Raymond Berry 9 yard pass from Johnny Unitas (Lou Michaels kick),14,0
2,2.0,Colts,Jimmy Orr 19 yard pass from Johnny Unitas (Lou Michaels kick),21,0
3,3.0,Colts,Lou Michaels 36 yard field goal,24,0
4,3.0,Colts,Lou Michaels 41 yard field goal,27,0
5,3.0,Colts,Jerry Logan 18 yard interception return (Lou Michaels kick),34,0
