,Quarter,Tm,Detail,OOR,DAY
0,1.0,Triangles,Lou Partlow 3 yard rush (Russ Hathaway kick),0,7
1,1.0,Triangles,"Safety,",0,9
2,2.0,Triangles,Tip O'Neill 25 yard rush (Russ Hathaway kick),0,16
3,3.0,Triangles,Ken Huffine 10 yard rush (Russ Hathaway kick),0,23
4,4.0,Triangles,Ken Huffine 4 yard rush,0,29
5,4.0,Triangles,Glenn Tidd 41 yard fumble return (Russ Hathaway kick),0,36
