,Quarter,Time,Tm,Detail,BAL,PIT
0,1.0,5:24,Steelers,Heath Miller 3 yard pass from Ben Roethlisberger (Shaun Suisham kick),0,7
1,1.0,0:05,Ravens,Justin Tucker 46 yard field goal,3,7
2,2.0,9:59,Steelers,Shaun Suisham 34 yard field goal,3,10
3,2.0,0:08,Ravens,Justin Tucker 38 yard field goal,6,10
4,3.0,2:56,Steelers,Shaun Suisham 28 yard field goal,6,13
5,4.0,13:04,Ravens,Justin Tucker 32 yard field goal,9,13
6,4.0,9:59,Steelers,Shaun Suisham 38 yard field goal,9,16
7,4.0,1:58,Ravens,Dallas Clark 1 yard pass from Joe Flacco (Justin Tucker kick),16,16
8,4.0,0:00,Steelers,Shaun Suisham 42 yard field goal,16,19
