,Quarter,Time,Tm,Detail,MIN,CHI
0,1.0,3:46,Bears,Dez White 25 yard pass from Cade McNown (run failed),0,6
1,2.0,8:58,Bears,Paul Edinger 22 yard field goal,0,9
2,2.0,8:35,Vikings,Robert Smith 72 yard rush (Gary Anderson kick),7,9
3,2.0,5:26,Vikings,Cris Carter 24 yard pass from Daunte Culpepper (Gary Anderson kick),14,9
4,3.0,10:01,Vikings,Matthew Hatchette 24 yard pass from Daunte Culpepper (Gary Anderson kick),21,9
5,4.0,14:56,Bears,James Allen 6 yard rush (Paul Edinger kick),21,16
6,4.0,9:26,Vikings,Randy Moss 7 yard pass from Daunte Culpepper (Gary Anderson kick),28,16
