,Quarter,Time,Tm,Detail,STL,CHI
0,1.0,10:41,Bears,Robbie Gould 54 yard field goal,0,3
1,2.0,1:56,Bears,Michael Bush 3 yard rush (Robbie Gould kick),0,10
2,2.0,0:22,Rams,Greg Zuerlein 56 yard field goal,3,10
3,3.0,6:14,Rams,Greg Zuerlein 46 yard field goal,6,10
4,4.0,9:45,Bears,Robbie Gould 22 yard field goal,6,13
5,4.0,9:06,Bears,Major Wright 45 yard interception return (Robbie Gould kick),6,20
6,4.0,2:18,Bears,Robbie Gould 37 yard field goal,6,23
