,Quarter,Tm,Detail,ATL,CHI
0,1.0,Falcons,John Zook 26 yard defensive fumble return (Bill Bell kick),7,0
1,1.0,Bears,Bob Parsons 6 yard pass from Bobby Douglass (Mac Percival kick),7,7
2,1.0,Falcons,Bill Bell 22 yard field goal,10,7
3,2.0,Falcons,Ken Burrow 32 yard pass from Bob Berry (Bill Bell kick),17,7
4,2.0,Falcons,Bob Berry 1 yard rush (Bill Bell kick),24,7
5,2.0,Falcons,Art Malone 57 yard pass from Bob Berry (Bill Bell kick),31,7
6,3.0,Bears,Earl Thomas 38 yard pass from Bobby Douglass (Mac Percival kick),31,14
7,3.0,Falcons,Bill Bell 39 yard field goal,34,14
8,4.0,Bears,Jim Harrison 1 yard rush (Mac Percival kick),34,21
9,4.0,Falcons,Bill Bell 36 yard field goal,37,21
