,Quarter,Time,Tm,Detail,PHI,ARI
0,4.0,,Eagles,Chris Boniol 29 yard field goal,3,0
1,4.0,,Cardinals,Joe Nedney 47 yard field goal,3,3
2,4.0,,Cardinals,Johnny McWilliams 7 yard pass from Jake Plummer (Joe Nedney kick),3,10
3,4.0,2:00,Cardinals,Adrian Murrell 25 yard rush (Joe Nedney kick),3,17
