,Quarter,Tm,Detail,RAM,CHI
0,1.0,Bears,Chick Jagade 1 yard rush (George Blanda kick),0,7
1,1.0,Bears,George Blanda 24 yard field goal,0,10
2,2.0,Bears,Gene Schroeder 35 yard pass from Ed Brown (George Blanda kick),0,17
3,2.0,Bears,Harlon Hill 84 yard pass from Ed Brown (George Blanda kick),0,24
4,4.0,Rams,Bud McFadin 41 yard field goal,3,24
