,Quarter,Time,Tm,Detail,TAM,NOR
0,1.0,2:27,Saints,Lance Moore 3 yard pass from Drew Brees (John Kasay kick),0,7
1,2.0,8:34,Saints,Darren Sproles 21 yard pass from Drew Brees (John Kasay kick),0,14
2,2.0,1:39,Buccaneers,Connor Barth 40 yard field goal,3,14
3,2.0,0:00,Saints,John Kasay 21 yard field goal,3,17
4,3.0,9:29,Buccaneers,Connor Barth 48 yard field goal,6,17
5,3.0,3:11,Saints,Pierre Thomas 9 yard rush (John Kasay kick),6,24
6,4.0,11:08,Buccaneers,Connor Barth 25 yard field goal,9,24
7,4.0,5:33,Buccaneers,Kellen Winslow 5 yard pass from Josh Freeman (Connor Barth kick),16,24
8,4.0,1:17,Saints,John Kasay 34 yard field goal,16,27
