,Quarter,Tm,Detail,CIN,RAI
0,1.0,Raiders,Bo Jackson 7 yard rush (Jeff Jaeger kick),0,7
1,1.0,Raiders,Bo Jackson 92 yard rush (Jeff Jaeger kick),0,14
2,2.0,Raiders,Vance Mueller 25 yard pass from Jay Schroeder (Jeff Jaeger kick),0,21
3,3.0,Raiders,Willie Gault 84 yard pass from Jay Schroeder (Jeff Jaeger kick),0,28
4,4.0,Bengals,Tim McGee 34 yard pass from Erik Wilhelm (Jim Breech kick),7,28
