,Quarter,Time,Tm,Detail,NOR,SEA
0,1.0,7:47,Seahawks,Stephen Hauschka 26 yard field goal,0,3
1,1.0,6:27,Seahawks,Michael Bennett 22 yard defensive fumble return (Stephen Hauschka kick),0,10
2,1.0,1:55,Seahawks,Zach Miller 2 yard pass from Russell Wilson (Stephen Hauschka kick),0,17
3,2.0,8:45,Saints,Jimmy Graham 2 yard pass from Drew Brees (Garrett Hartley kick),7,17
4,2.0,3:41,Seahawks,Stephen Hauschka 20 yard field goal,7,20
5,2.0,0:13,Seahawks,Doug Baldwin 4 yard pass from Russell Wilson (Stephen Hauschka kick),7,27
6,3.0,7:07,Seahawks,Derrick Coleman 8 yard pass from Russell Wilson (Stephen Hauschka kick),7,34
