,Quarter,Tm,Detail,CLE,WAS
0,1.0,Redskins,Charley Taylor 5 yard rush (Charlie Gogolak kick),0,7
1,1.0,Redskins,Charley Taylor 34 yard pass from Sonny Jurgensen (Charlie Gogolak kick),0,14
2,1.0,Browns,Leroy Kelly 29 yard rush (Lou Groza kick),7,14
3,3.0,Browns,Gary Collins 20 yard pass from Frank Ryan (Lou Groza kick),14,14
4,3.0,Browns,Lou Groza 35 yard field goal,17,14
5,4.0,Browns,Paul Warfield 16 yard pass from Frank Ryan (Lou Groza kick),24,14
6,4.0,Browns,Ernie Green 1 yard rush (Lou Groza kick),31,14
7,4.0,Browns,Gary Collins 5 yard pass from Frank Ryan (Lou Groza kick),38,14
