,Quarter,Tm,Detail,WAS,DAL
0,1.0,Redskins,Obed Ariri 19 yard field goal,3,0
1,3.0,Redskins,Ted Wilson 16 yard rush (Obed Ariri kick),10,0
2,3.0,Cowboys,Kelvin Edwards 38 yard pass from Danny White (Kerry Brady kick),10,7
3,4.0,Redskins,Obed Ariri 39 yard field goal,13,7
