,Quarter,Tm,Detail,IND,DEN
0,1,Colts,Dean Biasucci 55 yard field goal,3,0
1,2,Broncos,Bobby Humphrey 2 yard rush (David Treadwell kick),3,7
2,4,Broncos,Sammy Winder 1 yard rush (David Treadwell kick),3,14
