,Quarter,Tm,Detail,NWE,BAL
0,2.0,Patriots,Randy Vataha 1 yard pass from Jim Plunkett (Charlie Gogolak kick),7,0
1,2.0,Colts,Jim O'Brien 12 yard field goal,7,3
2,2.0,Patriots,John Outlaw 60 yard interception return (Charlie Gogolak kick),14,3
3,3.0,Colts,Eddie Hinton 31 yard pass from Johnny Unitas (Jim O'Brien kick),14,10
4,4.0,Patriots,Randy Vataha 88 yard pass from Jim Plunkett (Charlie Gogolak kick),21,10
5,4.0,Colts,Eddie Hinton 13 yard pass from Johnny Unitas (Jim O'Brien kick),21,17
