,Quarter,Time,Tm,Detail,NYG,CAR
0,1.0,,Panthers,Rocket Ismail 35 yard rush (John Kasay kick),0,7
1,1.0,,Giants,Chris Calloway 13 yard pass from Dave Brown (Brad Daluiso kick),7,7
2,1.0,,Giants,Thomas Lewis 23 yard pass from Dave Brown (Brad Daluiso kick),14,7
3,2.0,,Panthers,John Kasay 42 yard field goal,14,10
4,3.0,,Giants,Brad Daluiso 22 yard field goal,17,10
5,3.0,,Panthers,Anthony Johnson 1 yard rush (John Kasay kick),17,17
6,3.0,,Panthers,John Kasay 28 yard field goal,17,20
7,4.0,,Panthers,Howard Griffith 17 yard pass from Kerry Collins (John Kasay kick),17,27
