,Quarter,Time,Tm,Detail,BUF,MIA
0,1.0,9:26,Dolphins,Anthony Fasano 2 yard pass from Chad Pennington (Dan Carpenter kick),0,7
1,1.0,4:21,Bills,Rian Lindell 19 yard field goal,3,7
2,2.0,8:19,Bills,Rian Lindell 43 yard field goal,6,7
3,2.0,0:00,Bills,Rian Lindell 47 yard field goal,9,7
4,3.0,10:17,Bills,Marshawn Lynch 8 yard rush (Rian Lindell kick),16,7
5,3.0,7:56,Dolphins,Dan Carpenter 43 yard field goal,16,10
6,3.0,1:15,Dolphins,Ricky Williams 3 yard rush (Dan Carpenter kick),16,17
7,4.0,13:17,Dolphins,Dan Carpenter 45 yard field goal,16,20
8,4.0,7:40,Dolphins,"Safety, Duke Preston tackled by Charlie Anderson in the end zone.",16,22
9,4.0,3:53,Dolphins,Dan Carpenter 35 yard field goal,16,25
