,Quarter,Tm,Detail,NOR,DET
0,1.0,Lions,Rodney Peete 6 yard rush (Eddie Murray kick),0,7
1,2.0,Saints,Dalton Hilliard 1 yard rush (Morten Andersen kick),7,7
2,2.0,Lions,Barry Sanders 3 yard rush (Eddie Murray kick),7,14
3,2.0,Saints,Bobby Morse 99 yard kickoff return (Morten Andersen kick),14,14
4,3.0,Lions,Richard Johnson 75 yard pass from Bob Gagliano (Eddie Murray kick),14,21
