,Quarter,Tm,Detail,NYG,GNB
0,1.0,Packers,Al Del Greco 40 yard field goal,0,3
1,1.0,Packers,Jessie Clark 1 yard rush (Al Del Greco kick),0,10
2,2.0,Giants,Ali Haji-Sheikh 23 yard field goal,3,10
3,2.0,Giants,Ali Haji-Sheikh 52 yard field goal,6,10
4,2.0,Packers,Paul Coffman 1 yard pass from Lynn Dickey (Al Del Greco kick),6,17
5,3.0,Giants,Don Hasselbeck 20 yard pass from Phil Simms (Ali Haji-Sheikh kick),13,17
6,4.0,Giants,Lionel Manuel 5 yard pass from Phil Simms (Ali Haji-Sheikh kick),20,17
7,4.0,Packers,Eddie Lee Ivery 1 yard rush,20,23
