,Quarter,Tm,Detail,SEA,SDG
0,1.0,Seahawks,Norm Johnson 29 yard field goal,3,0
1,1.0,Seahawks,Steve Largent 6 yard pass from Dave Krieg (Norm Johnson kick),10,0
2,2.0,Chargers,Tim Spencer 1 yard rush (Rolf Benirschke kick),10,7
3,2.0,Seahawks,Daryl Turner 72 yard pass from Dave Krieg (Norm Johnson kick),17,7
4,2.0,Chargers,Rolf Benirschke 23 yard field goal,17,10
5,2.0,Chargers,Kellen Winslow 14 yard pass from Dan Fouts (Rolf Benirschke kick),17,17
6,3.0,Seahawks,Norm Johnson 25 yard field goal,20,17
7,4.0,Seahawks,Steve Largent 23 yard pass from Dave Krieg (Norm Johnson kick),27,17
8,4.0,Chargers,Tim Spencer 1 yard rush (Rolf Benirschke kick),27,24
9,4.0,Seahawks,Ray Butler 14 yard pass from Dave Krieg (Norm Johnson kick),34,24
