,Quarter,Time,Tm,Detail,BUF,NWE
0,1,4:00,Bills,Steve Christie 39 yard field goal,3,0
1,2,0:00,Patriots,Adam Vinatieri 38 yard field goal,3,3
2,4,12:15,Patriots,Terry Allen 14 yard rush (Adam Vinatieri kick),3,10
3,4,4:23,Bills,Jonathan Linton 1 yard rush (Steve Christie kick),10,10
4,OT,1:48,Bills,Steve Christie 23 yard field goal,13,10
