,Quarter,Tm,Detail,KAN,RAI
0,1.0,Raiders,Rod Martin 77 yard defensive fumble return (Chris Bahr kick),0,7
1,2.0,Raiders,Dokie Williams 12 yard pass from Marc Wilson (Chris Bahr kick),0,14
2,4.0,Raiders,Chris Bahr 22 yard field goal,0,17
3,4.0,Chiefs,Willie Scott 3 yard pass from Bill Kenney (Nick Lowery kick),7,17
