,Quarter,Time,Tm,Detail,NYG,NYJ
0,1.0,,Jets,Nick Lowery 46 yard field goal,0,3
1,2.0,,Giants,Chris Calloway 17 yard pass from Dave Brown (Brad Daluiso kick),7,3
2,3.0,,Jets,Nick Lowery 39 yard field goal,7,6
3,4.0,,Giants,Brad Daluiso 20 yard field goal,10,6
4,4.0,,Giants,Brad Daluiso 20 yard field goal,13,6
