,Quarter,Tm,Detail,SFO,PHI
0,1.0,49ers,Verl Lillywhite 60 yard rush (Gordie Soltau kick),7,0
1,1.0,Eagles,Jim Parmer 4 yard rush (Bobby Walston kick),7,7
2,3.0,Eagles,Clyde Scott 49 yard pass from Adrian Burk (Bobby Walston kick),7,14
3,4.0,Eagles,Clyde Scott 28 yard pass from Adrian Burk (Bobby Walston kick),7,21
4,4.0,49ers,Verl Lillywhite 11 yard pass from Y.A. Tittle (Gordie Soltau kick),14,21
