,Quarter,Time,Tm,Detail,KAN,SDG
0,1.0,10:56,Chargers,Nate Kaeding 34 yard field goal,0,3
1,2.0,7:08,Chiefs,Lawrence Tynes 50 yard field goal,3,3
2,2.0,2:24,Chargers,Doug Flutie 1 yard rush (Nate Kaeding kick),3,10
3,2.0,0:12,Chargers,Ryan Krause 10 yard pass from Doug Flutie (Nate Kaeding kick),3,17
4,4.0,7:11,Chargers,Malcom Floyd 13 yard pass from Philip Rivers (Nate Kaeding kick),3,24
5,4.0,4:10,Chiefs,Larry Johnson 2 yard rush (Lawrence Tynes kick),10,24
6,4.0,2:10,Chiefs,Larry Johnson 14 yard pass from Trent Green (Lawrence Tynes kick),17,24
