,Quarter,Time,Tm,Detail,WAS,NYG
0,1.0,,Redskins,Scott Blanton 36 yard field goal,3,0
1,2.0,,Redskins,Marc Logan 3 yard rush (Scott Blanton kick),10,0
2,2.0,,Redskins,Scott Galbraith 30 yard pass from Gus Frerotte (Scott Blanton kick),17,0
3,2.0,,Giants,Aaron Pierce 7 yard pass from Dave Brown (Brad Daluiso kick),17,7
4,3.0,,Giants,Brad Daluiso 19 yard field goal,17,10
5,4.0,3:50,Redskins,Terry Allen 7 yard rush (Scott Blanton kick),24,10
6,4.0,3:50,Redskins,Stephen Davis 39 yard rush (Scott Blanton kick),31,10
