,Quarter,Time,Tm,Detail,HOU,PIT
0,1.0,8:59,Steelers,Chris Boswell 33 yard field goal,0,3
1,1.0,6:07,Texans,Randall Cobb 28 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,3
2,2.0,11:35,Texans,David Johnson 2 yard rush (Ka'imi Fairbairn kick),14,3
3,2.0,5:09,Steelers,Eric Ebron 10 yard pass from Ben Roethlisberger (Chris Boswell kick),14,10
4,2.0,1:22,Steelers,JuJu Smith-Schuster 26 yard pass from Ben Roethlisberger (Chris Boswell kick),14,17
5,2.0,0:28,Texans,Will Fuller 14 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),21,17
6,3.0,9:57,Steelers,Chris Boswell 26 yard field goal,21,20
7,4.0,6:30,Steelers,James Conner 12 yard rush (JuJu Smith-Schuster pass from Ben Roethlisberger),21,28
