,Quarter,Tm,Detail,NYG,DAL
0,1.0,Giants,Billy Taylor 2 yard rush (Joe Danelo kick),7,0
1,2.0,Cowboys,Drew Pearson 7 yard pass from Roger Staubach (Rafael Septien kick),7,7
2,3.0,Cowboys,Drew Pearson 8 yard pass from Roger Staubach (Rafael Septien kick),7,14
3,3.0,Cowboys,Drew Pearson 44 yard pass from Roger Staubach (Rafael Septien kick),7,21
4,4.0,Cowboys,Tony Dorsett 1 yard rush (Rafael Septien kick),7,28
