,Quarter,Time,Tm,Detail,NWE,ARI
0,1.0,7:34,Patriots,Chris Hogan 37 yard pass from Jimmy Garoppolo (Stephen Gostkowski kick),7,0
1,1.0,1:00,Patriots,Stephen Gostkowski 47 yard field goal,10,0
2,2.0,4:06,Cardinals,Larry Fitzgerald 3 yard pass from Carson Palmer (Chandler Catanzaro kick),10,7
3,3.0,10:00,Patriots,LeGarrette Blount 8 yard rush (Stephen Gostkowski kick),17,7
4,3.0,4:29,Cardinals,David Johnson 1 yard rush (Chandler Catanzaro kick),17,14
5,4.0,12:35,Patriots,Stephen Gostkowski 53 yard field goal,20,14
6,4.0,9:46,Cardinals,Larry Fitzgerald 1 yard pass from Carson Palmer (Chandler Catanzaro kick),20,21
7,4.0,3:44,Patriots,Stephen Gostkowski 32 yard field goal,23,21
