,Quarter,Tm,Detail,TAM,CHI
0,2,Buccaneers,Neil O'Donoghue 44 yard field goal,3,0
1,3,Bears,Walter Payton 3 yard rush (Bob Thomas kick),3,7
2,4,Bears,Bob Avellini 3 yard rush (Bob Thomas kick),3,14
