,Quarter,Tm,Detail,HOU,KAN
0,1.0,Chiefs,Joe Delaney 6 yard rush (Nick Lowery kick),0,7
1,2.0,Chiefs,Nick Lowery 37 yard field goal,0,10
2,2.0,Oilers,Toni Fritsch 21 yard field goal,3,10
3,3.0,Chiefs,Billy Jackson 1 yard rush (Nick Lowery kick),3,17
4,4.0,Oilers,Ken Burrough 50 yard pass from Ken Stabler (Toni Fritsch kick),10,17
5,4.0,Chiefs,Nick Lowery 42 yard field goal,10,20
6,4.0,Chiefs,Nick Lowery 38 yard field goal,10,23
