,Quarter,Time,Tm,Detail,SDG,CLE
0,1.0,3:16,Chargers,Wade Richey 22 yard field goal,3,0
1,2.0,14:30,Browns,Phil Dawson 31 yard field goal,3,3
2,2.0,0:33,Browns,James Jackson 12 yard rush (Phil Dawson kick),3,10
3,3.0,13:53,Chargers,LaDainian Tomlinson 2 yard rush (Wade Richey kick),10,10
4,4.0,10:23,Chargers,Wade Richey 21 yard field goal,13,10
5,4.0,8:32,Chargers,Wade Richey 38 yard field goal,16,10
6,4.0,4:58,Browns,Phil Dawson 27 yard field goal,16,13
7,4.0,1:15,Browns,Kevin Johnson 19 yard pass from Tim Couch (Phil Dawson kick),16,20
