,Quarter,Tm,Detail,RAI,KAN
0,2.0,Raiders,Eric Dickerson 40 yard rush (Jeff Jaeger kick),7,0
1,2.0,Chiefs,Dave Krieg 3 yard rush (Nick Lowery kick),7,7
2,2.0,Chiefs,Nick Lowery 22 yard field goal,7,10
3,4.0,Chiefs,Dave Krieg 7 yard rush (Nick Lowery kick),7,17
4,4.0,Chiefs,Nick Lowery 41 yard field goal,7,20
5,4.0,Chiefs,Charles Mincy 25 yard interception return (Nick Lowery kick),7,27
