,Quarter,Time,Tm,Detail,KAN,SEA
0,1.0,,Chiefs,Chris Penn 9 yard pass from Steve Bono (Pete Stoyanovich kick),7,0
1,1.0,,Chiefs,Dale Carter 46 yard pass from Steve Bono (Pete Stoyanovich kick),14,0
2,2.0,,Seahawks,Todd Peterson 47 yard field goal,14,3
3,2.0,,Seahawks,Lamar Smith 4 yard rush (Todd Peterson kick),14,10
4,2.0,,Chiefs,Chris Penn 1 yard pass from Steve Bono (Pete Stoyanovich kick),21,10
5,3.0,,Chiefs,Marcus Allen 2 yard rush (Pete Stoyanovich kick),28,10
6,4.0,,Seahawks,Rick Mirer 1 yard rush (Todd Peterson kick),28,17
7,4.0,,Chiefs,Marcus Allen 1 yard rush (Pete Stoyanovich kick),35,17
