,Quarter,Tm,Detail,GNB,RAM
0,1.0,Rams,Dan Towler 3 yard rush (Bob Waterfield kick),0,7
1,2.0,Rams,Bob Waterfield 19 yard rush (Bob Waterfield kick),0,14
2,2.0,Packers,Breezy Reid 1 yard rush (Bill Reichardt kick),7,14
3,2.0,Packers,Tobin Rote 1 yard rush (Bill Reichardt kick),14,14
4,2.0,Rams,Bob Waterfield 42 yard field goal,14,17
5,3.0,Rams,Night Train Lane 80 yard interception return (Bob Waterfield kick),14,24
6,3.0,Rams,Dan Towler 9 yard rush (Bob Waterfield kick),14,31
7,3.0,Rams,Paul Barry 25 yard pass from Bob Waterfield (Bob Waterfield kick),14,38
8,4.0,Rams,Andy Robustelli 29 yard fumble return (Bob Waterfield kick),14,45
9,4.0,Packers,Bill Reichardt 2 yard rush (Bill Reichardt kick),21,45
10,4.0,Packers,Carl Elliott 9 yard pass from Babe Parilli,27,45
