,Quarter,Tm,Detail,WAS,BAL
0,1.0,Redskins,Sam Baker 8 yard field goal,3,0
1,2.0,Colts,Alan Ameche 1 yard rush,3,6
2,2.0,Redskins,Steve Meilinger 35 yard pass from Al Dorow (Sam Baker kick),10,6
3,3.0,Redskins,Tommy Runnels 22 yard pass from Al Dorow (Sam Baker kick),17,6
4,4.0,Colts,Lenny Moore 7 yard rush (Gary Kerkorian kick),17,13
5,4.0,Colts,Jim Mutscheller 53 yard pass from Johnny Unitas,17,19
