,Quarter,Tm,Detail,OAK,STL
0,1.0,Cardinals,Jackie Smith 16 yard pass from Jim Hart (Jim Bakken kick),0,7
1,2.0,Raiders,George Blanda 17 yard field goal,3,7
2,3.0,Raiders,Charlie Smith 2 yard rush (George Blanda kick),10,7
3,3.0,Cardinals,Jim Bakken 12 yard field goal,10,10
4,4.0,Raiders,Marv Hubbard 1 yard rush (George Blanda kick),17,10
