,Quarter,Tm,Detail,KAN,DEN
0,1.0,Chiefs,Jan Stenerud 20 yard field goal,3,0
1,2.0,Broncos,Bobby Howfield 13 yard field goal,3,3
2,2.0,Chiefs,Jan Stenerud 12 yard field goal,6,3
3,2.0,Chiefs,Jan Stenerud 54 yard field goal,9,3
4,3.0,Chiefs,Jan Stenerud 11 yard field goal,12,3
5,4.0,Chiefs,Warren McVea 12 yard rush (Jan Stenerud kick),19,3
6,4.0,Chiefs,Jim Kearney 60 yard interception return (Jan Stenerud kick),26,3
7,4.0,Broncos,Bobby Howfield 47 yard field goal,26,6
8,4.0,Broncos,Al Denson 22 yard pass from Pete Liske (Bobby Howfield kick),26,13
