,Quarter,Tm,Detail,STL,PIT
0,1.0,Cardinals,Neil O'Donoghue 19 yard field goal,3,0
1,1.0,Steelers,Louis Lipps 45 yard pass from Mark Malone (Gary Anderson kick),3,7
2,1.0,Steelers,Frank Pollard 14 yard rush (Gary Anderson kick),3,14
3,2.0,Steelers,Gary Anderson 33 yard field goal,3,17
4,3.0,Steelers,Gary Anderson 18 yard field goal,3,20
5,3.0,Steelers,Gary Anderson 26 yard field goal,3,23
6,4.0,Cardinals,Stump Mitchell 5 yard pass from Neil Lomax (Neil O'Donoghue kick),10,23
