,Quarter,Time,Tm,Detail,GNB,TAM
0,1.0,12:15,Packers,James Jones 74 yard pass from Aaron Rodgers (Mason Crosby kick),7,0
1,1.0,8:45,Buccaneers,Derrick Ward 6 yard pass from Josh Freeman (Connor Barth kick),7,7
2,1.0,2:39,Packers,Ryan Grant 2 yard rush (Mason Crosby kick),14,7
3,2.0,11:59,Buccaneers,Ronde Barber 31 yard blocked punt return (Connor Barth kick),14,14
4,2.0,7:38,Packers,Donald Driver 32 yard pass from Aaron Rodgers (Mason Crosby kick),21,14
5,2.0,0:06,Buccaneers,Connor Barth 38 yard field goal,21,17
6,4.0,12:54,Packers,Aaron Rodgers 12 yard rush (Mason Crosby kick),28,17
7,4.0,11:34,Buccaneers,Kellen Winslow 7 yard pass from Josh Freeman (pass failed),28,23
8,4.0,4:14,Buccaneers,Sammie Stroughter 7 yard pass from Josh Freeman (Michael Clayton pass from Josh Freeman ),28,31
9,4.0,0:35,Buccaneers,Tanard Jackson 35 yard interception return (Connor Barth kick),28,38
