,Quarter,Tm,Detail,MIN,GNB
0,1.0,Packers,Chris Jacke 36 yard field goal,0,3
1,1.0,Vikings,Rich Karlis 19 yard field goal,3,3
2,2.0,Packers,Sterling Sharpe 34 yard pass from Don Majkowski (Chris Jacke kick),3,10
3,2.0,Vikings,Rich Karlis 34 yard field goal,6,10
4,3.0,Vikings,Rich Karlis 27 yard field goal,9,10
5,3.0,Vikings,Herschel Walker 6 yard rush (Rich Karlis kick),16,10
6,3.0,Packers,Chris Jacke 42 yard field goal,16,13
7,4.0,Packers,Sterling Sharpe 9 yard pass from Don Majkowski (Chris Jacke kick),16,20
8,4.0,Vikings,Rich Karlis 19 yard field goal,19,20
