,Quarter,Tm,Detail,DET,CLE
0,2.0,Lions,Bobby Layne 2 yard rush (Pat Harder kick),7,0
1,3.0,Lions,Doak Walker 67 yard rush (Pat Harder kick),14,0
2,3.0,Browns,Chick Jagade 7 yard rush (Lou Groza kick),14,7
3,4.0,Lions,Pat Harder 36 yard field goal,17,7
