,Quarter,Time,Tm,Detail,BUF,GNB
0,1.0,,Packers,Tyrone Davis fumble recovery in end zone (Ryan Longwell kick),0,7
1,1.0,,Packers,Antonio Freeman 4 yard pass from Brett Favre (Ryan Longwell kick),0,14
2,2.0,,Packers,Tyrone Davis 2 yard pass from Brett Favre (Ryan Longwell kick),0,21
3,3.0,,Packers,Ryan Longwell 35 yard field goal,0,24
4,3.0,3:38,Bills,Antowain Smith 5 yard rush (Jay Riemersma pass from Alex Van Pelt),8,24
5,4.0,3:38,Bills,Antowain Smith 1 yard rush (pass failed),14,24
6,4.0,7:03,Packers,Darren Sharper 20 yard interception return (Ryan Longwell kick),14,31
7,4.0,7:03,Bills,Alex Van Pelt 1 yard rush (Steve Christie kick),21,31
