,Quarter,Time,Tm,Detail,WAS,GNB
0,1.0,6:23,Packers,Antonio Freeman 12 yard pass from Brett Favre (Ryan Longwell kick),0,7
1,2.0,3:10,Packers,Ryan Longwell 28 yard field goal,0,10
2,3.0,13:29,Packers,Ryan Longwell 32 yard field goal,0,13
3,3.0,6:34,Packers,Bill Schroeder 41 yard pass from Brett Favre (Ryan Longwell kick),0,20
4,4.0,14:54,Packers,Bubba Franks 4 yard pass from Brett Favre (Ryan Longwell kick),0,27
5,4.0,3:15,Packers,Ryan Longwell 30 yard field goal,0,30
6,4.0,3:00,Packers,Rondell Mealey 27 yard fumble return (Ryan Longwell kick),0,37
