,Quarter,Tm,Detail,CLE,SEA
0,1.0,Seahawks,Mike Tice 5 yard pass from Dave Krieg (Norm Johnson kick),0,7
1,2.0,Seahawks,Norm Johnson 22 yard field goal,0,10
2,2.0,Seahawks,Paul Johns 7 yard pass from Dave Krieg (Norm Johnson kick),0,17
3,2.0,Seahawks,Norm Johnson 50 yard field goal,0,20
4,3.0,Seahawks,Norm Johnson 41 yard field goal,0,23
5,3.0,Seahawks,Norm Johnson 24 yard field goal,0,26
6,3.0,Seahawks,Daryl Turner 34 yard pass from Dave Krieg (Norm Johnson kick),0,33
