,Quarter,Tm,Detail,RAI,SDG
0,1.0,Raiders,Jeff Jaeger 23 yard field goal,3,0
1,2.0,Raiders,Jeff Jaeger 36 yard field goal,6,0
2,2.0,Raiders,Jeff Jaeger 33 yard field goal,9,0
3,3.0,Raiders,Jeff Jaeger 32 yard field goal,12,0
4,3.0,Chargers,Anthony Miller 91 yard kickoff return (Chris Bahr kick),12,7
5,4.0,Chargers,Tim Spencer 5 yard rush (Chris Bahr kick),12,14
