,Quarter,Tm,Detail,PIT,CLE
0,1.0,Browns,Milt Plum 1 yard rush (Sam Baker kick),0,7
1,2.0,Browns,Bobby Mitchell 5 yard rush (Sam Baker kick),0,14
2,2.0,Browns,Rich Kreitling 60 yard pass from Milt Plum (Sam Baker kick),0,21
3,3.0,Steelers,Tom Tracy 40 yard pass from Bobby Layne (Bobby Layne kick),7,21
4,4.0,Steelers,Tom Tracy 1 yard rush,13,21
5,4.0,Browns,Jim Brown 2 yard rush (Sam Baker kick),13,28
6,4.0,Steelers,Buddy Dial 3 yard pass from Bobby Layne (Bert Rechichar kick),20,28
