,Quarter,Time,Tm,Detail,SFO,PHI
0,1.0,,49ers,Merton Hanks 38 yard defensive fumble return (Gary Anderson kick),7,0
1,1.0,,Eagles,Chris Boniol 28 yard field goal,7,3
2,2.0,,Eagles,Chris Boniol 34 yard field goal,7,6
3,2.0,,49ers,Garrison Hearst 1 yard rush (Gary Anderson kick),14,6
4,2.0,,49ers,Chuck Levy 73 yard punt return (Gary Anderson kick),21,6
5,2.0,,49ers,Gary Anderson 31 yard field goal,24,6
6,4.0,,Eagles,Chad Lewis 6 yard pass from Bobby Hoying (pass failed),24,12
