,Quarter,Time,Tm,Detail,SFO,CAR
0,1.0,12:01,Panthers,Muhsin Muhammad 8 yard pass from Steve Beuerlein (Richie Cunningham kick),0,7
1,1.0,9:15,49ers,Wade Richey 37 yard field goal,3,7
2,1.0,5:08,Panthers,Muhsin Muhammad 14 yard pass from Steve Beuerlein (Richie Cunningham kick),3,14
3,1.0,1:52,Panthers,Richie Cunningham 21 yard field goal,3,17
4,1.0,0:24,49ers,Jerry Rice 48 yard pass from Jeff Garcia (Wade Richey kick),10,17
5,2.0,12:15,Panthers,William Floyd 2 yard rush (Richie Cunningham kick),10,24
6,3.0,10:18,49ers,Fred Beasley 44 yard rush (Wade Richey kick),17,24
7,3.0,8:33,Panthers,Patrick Jeffers 55 yard pass from Steve Beuerlein (Richie Cunningham kick),17,31
8,3.0,2:44,Panthers,Richie Cunningham 43 yard field goal,17,34
9,4.0,14:55,49ers,Charlie Garner 17 yard pass from Jeff Garcia (Wade Richey kick),24,34
10,4.0,7:30,Panthers,Muhsin Muhammad 7 yard pass from Steve Beuerlein (Richie Cunningham kick),24,41
