,Quarter,Tm,Detail,BOS,WAS
0,1.0,Redskins,Joe Aguirre 23 yard field goal,0,3
1,2.0,Redskins,Joe Aguirre 37 yard field goal,0,6
2,3.0,Redskins,Steve Bagarus 41 yard pass from Sammy Baugh (Joe Aguirre kick),0,13
3,3.0,Redskins,Bob Seymour 23 yard rush (Joe Aguirre kick),0,20
4,3.0,Yanks/Tigers,Don Currivan 8 yard pass from Bob Davis (Augie Lio kick),7,20
5,4.0,Redskins,Merl Condit 20 yard rush (Larry Weldon kick),7,27
6,4.0,Redskins,Wayne Millner 7 yard pass from Frank Filchock (Merl Condit kick),7,34
