,Quarter,Time,Tm,Detail,OAK,SDG
0,1.0,,Raiders,Napoleon Kaufman 12 yard rush (Cole Ford kick),7,0
1,1.0,,Chargers,Tony Martin 11 yard pass from Sean Salisbury (John Carney kick),7,7
2,2.0,,Raiders,Cole Ford 36 yard field goal,10,7
3,3.0,,Raiders,Derrick Fenner 17 yard pass from Jeff Hostetler (Cole Ford kick),17,7
4,3.0,,Raiders,Cole Ford 32 yard field goal,20,7
5,4.0,,Chargers,Tony Martin 12 yard pass from Sean Salisbury (John Carney kick),20,14
6,4.0,,Raiders,Cole Ford 34 yard field goal,23,14
