,Quarter,Tm,Detail,NWE,BUF
0,2.0,Patriots,Derrick Ramsey 35 yard pass from Steve Grogan (Fred Steinfort kick),7,0
1,4.0,Patriots,Derrick Ramsey 2 yard pass from Steve Grogan (Fred Steinfort kick),14,0
2,4.0,Patriots,Tony Collins 50 yard rush (Fred Steinfort kick),21,0
3,4.0,Patriots,Fred Steinfort 22 yard field goal,24,0
4,4.0,Patriots,Mark van Eeghen 2 yard rush (Fred Steinfort kick),31,0
