,Quarter,Tm,Detail,BCL,RAM
0,1.0,Rams,Elroy Hirsch 58 yard pass from Glenn Davis (Bob Waterfield kick),0,7
1,1.0,Colts,Billy Stone 55 yard pass from Adrian Burk (Rex Grossman kick),7,7
2,1.0,Rams,Vitamin Smith 95 yard kickoff return (Bob Waterfield kick),7,14
3,1.0,Rams,Dick Hoerner 1 yard rush (Bob Waterfield kick),7,21
4,1.0,Colts,Adrian Burk 1 yard rush,13,21
5,2.0,Rams,Dan Towler 1 yard rush (Bob Waterfield kick),13,28
6,2.0,Rams,Bob Waterfield 13 yard rush (Bob Waterfield kick),13,35
7,3.0,Rams,Bob Boyd 33 yard pass from Norm Van Brocklin (Bob Waterfield kick),13,42
8,3.0,Rams,Tom Fears 36 yard pass from Norm Van Brocklin (Bob Waterfield kick),13,49
9,3.0,Colts,Chet Mutryn 25 yard pass from Adrian Burk (Rex Grossman kick),20,49
10,4.0,Rams,Ralph Pasquariello 1 yard rush (Bob Waterfield kick),20,56
11,4.0,Rams,Vitamin Smith 5 yard pass from Bob Waterfield (Bob Waterfield kick),20,63
12,4.0,Colts,Chet Mutryn 15 yard pass from Adrian Burk (Rex Grossman kick),27,63
13,4.0,Rams,Bob Boyd 63 yard pass from Bob Waterfield (Elroy Hirsch kick),27,70
