,Quarter,Tm,Detail,BCL,CRD
0,1.0,Cardinals,Bob Shaw 40 yard pass from Jim Hardy (Pat Harder kick),0,7
1,2.0,Colts,Ernie Zalejski 6 yard rush,6,7
2,2.0,Colts,Herb Rich 86 yard punt return (Rex Grossman kick),13,7
3,3.0,Cardinals,Fran Polsfoot 58 yard pass from Jim Hardy (Pat Harder kick),13,14
4,3.0,Cardinals,Bob Shaw 9 yard pass from Jim Hardy (Pat Harder kick),13,21
5,3.0,Cardinals,Bob Shaw 19 yard pass from Jim Hardy,13,27
6,4.0,Cardinals,Charley Trippi 1 yard rush (Vinnie Yablonski kick),13,34
7,4.0,Cardinals,Charley Trippi 18 yard rush (Vinnie Yablonski kick),13,41
8,4.0,Cardinals,Bob Shaw 18 yard pass from Jim Hardy (Vinnie Yablonski kick),13,48
9,4.0,Cardinals,Bob Shaw 28 yard pass from Jim Hardy (Vinnie Yablonski kick),13,55
