,Quarter,Time,Tm,Detail,DEN,PIT
0,1.0,4:27,Steelers,James Conner 2 yard rush (Chris Boswell kick),0,7
1,2.0,12:11,Broncos,Brandon McManus 49 yard field goal,3,7
2,2.0,6:34,Steelers,Chase Claypool 84 yard pass from Ben Roethlisberger (Chris Boswell kick),3,14
3,2.0,0:42,Steelers,Chris Boswell 21 yard field goal,3,17
4,3.0,8:03,Broncos,Brandon McManus 28 yard field goal,6,17
5,3.0,1:11,Broncos,Noah Fant 20 yard pass from Jeff Driskel (Noah Fant pass from Jeff Driskel),14,17
6,4.0,11:34,Steelers,Diontae Johnson 28 yard pass from Ben Roethlisberger (Chris Boswell kick),14,24
7,4.0,10:07,Steelers,unknown yard return,14,26
8,4.0,7:50,Broncos,Melvin Gordon 16 yard pass from Jeff Driskel (Brandon McManus kick),21,26
